academicyear,athleticstatus,countryoforigin,countryofresidence,disability,dob,gender,major,primarylanguage,university,dropout,study_hours,gpa
5,1,2,3,6,347,0,3,3,4078,0.0,6.5,2.72
3,1,6,6,9,3655,1,0,4,4249,0.0,7.2,3.29
0,1,4,0,10,6373,1,0,1,1697,1.0,5.3,2.2
2,0,4,4,2,4732,1,0,3,4511,0.0,7.5,2.59
2,0,5,3,12,4092,0,0,4,2574,0.0,6.3,2.16
0,1,7,3,8,2014,0,3,0,6534,0.0,7.3,2.95
5,0,1,0,20,4071,1,0,1,1364,0.0,4.5,2.27
3,1,7,2,6,4313,0,0,1,4963,0.0,7.0,2.52
4,0,2,2,18,1582,1,3,1,3540,0.0,7.7,3.25
2,0,7,1,8,1285,1,3,1,6624,0.0,9.0,3.16
3,0,4,7,17,4391,1,0,1,3964,0.0,7.6,3.15
3,0,0,5,12,7018,0,1,3,3446,0.0,7.5,3.26
5,1,2,2,6,2035,0,3,1,2353,0.0,7.1,2.37
3,0,5,2,10,27,1,0,2,4244,0.0,7.7,2.67
2,1,2,5,1,820,0,0,0,2724,0.0,8.0,2.83
3,1,1,7,19,3266,1,3,2,1479,0.0,7.0,2.09
4,0,6,7,5,2631,0,0,2,6637,0.0,7.1,2.94
0,0,3,0,7,6481,1,1,4,5492,0.0,6.0,2.35
5,0,7,0,15,6880,0,3,0,4878,0.0,7.2,2.59
5,1,6,4,14,4240,1,1,1,5751,0.0,7.3,3.34
4,1,7,1,8,5879,1,3,1,4700,0.0,7.0,2.53
1,0,0,4,7,2802,0,2,4,925,0.0,5.2,2.07
2,1,4,5,9,1962,1,3,3,3838,0.0,6.6,2.48
5,0,5,3,6,529,1,3,3,5099,0.0,6.6,2.53
2,0,3,3,12,240,0,2,4,3999,0.0,8.0,3.38
3,1,3,7,16,4087,0,3,0,1056,0.0,7.4,3.06
5,1,0,2,7,3798,0,1,0,364,0.0,7.3,2.54
2,0,5,6,18,168,0,3,4,3711,0.0,7.8,2.91
1,0,1,1,12,7048,0,3,2,952,0.0,5.7,2.09
4,0,7,7,20,2443,0,1,1,4466,0.0,6.5,2.41
0,1,6,5,1,3741,0,2,1,3548,0.0,7.6,2.92
3,1,4,1,16,4599,0,0,4,6314,0.0,8.3,3.28
0,1,6,2,16,2146,1,2,2,1064,0.0,7.5,3.36
3,0,5,1,3,1610,1,2,4,5192,0.0,7.7,3.28
1,1,4,0,7,6008,1,0,0,4098,0.0,6.0,2.11
2,1,2,0,17,5837,0,3,1,4248,0.0,7.0,2.53
4,1,3,3,15,1209,1,0,0,46,0.0,6.2,2.35
3,0,2,0,17,1914,0,2,3,1287,0.0,6.7,2.8
4,1,7,6,12,2022,0,3,3,2566,0.0,6.8,2.38
0,1,5,0,3,1653,1,2,1,5195,0.0,5.2,2.36
4,1,4,0,11,6557,1,0,3,65,0.0,6.5,2.17
2,0,1,2,7,6971,0,3,2,4351,0.0,8.1,2.96
2,0,3,6,10,5560,0,2,1,1734,0.0,7.6,3.19
1,0,5,2,16,5517,0,3,2,654,0.0,7.8,2.81
5,1,1,7,1,2168,0,2,3,6782,0.0,6.9,2.32
3,0,7,5,1,5562,1,0,1,3638,0.0,6.2,2.6
5,0,2,7,19,4053,0,2,4,4415,0.0,6.7,2.66
4,1,0,4,7,3863,0,3,3,3938,0.0,7.4,2.87
3,1,1,6,1,5789,0,3,3,6788,0.0,7.1,2.83
2,1,3,1,2,1352,0,2,2,568,0.0,7.5,3.23
2,0,2,0,14,6706,0,1,3,6404,0.0,7.0,2.98
2,0,3,4,15,5692,0,3,3,4881,0.0,6.8,2.21
3,1,1,6,18,357,1,1,3,5033,0.0,4.4,2.22
3,0,1,3,13,2712,0,2,3,4870,0.0,8.6,3.39
3,0,3,0,19,3633,1,1,2,96,0.0,6.9,3.07
4,1,7,2,4,976,0,2,1,5799,0.0,8.0,3.06
5,0,5,6,3,2892,1,2,3,2455,0.0,6.6,2.34
1,0,3,3,16,391,1,2,3,2089,0.0,7.6,2.88
4,1,2,6,0,1250,1,2,1,1346,0.0,7.6,2.69
1,1,6,3,15,312,0,3,4,6905,0.0,7.4,3.06
0,0,6,4,15,2749,1,2,3,5070,0.0,8.2,2.95
4,0,3,6,2,6179,0,0,4,789,0.0,7.2,2.98
3,1,2,0,0,1560,0,1,0,4622,0.0,8.0,3.36
3,1,5,7,17,6851,1,0,0,3745,0.0,4.8,2.43
5,1,2,2,13,1095,1,1,1,3585,0.0,8.5,3.34
5,0,1,2,7,4894,0,3,2,1221,0.0,7.0,2.91
1,0,0,3,5,3706,0,2,4,1585,0.0,7.5,2.48
3,1,7,3,6,4842,0,3,2,4138,0.0,7.4,2.03
1,1,7,0,9,3546,0,0,1,2776,0.0,6.3,2.21
1,0,2,4,18,3867,0,0,2,2712,0.0,7.3,3.01
0,1,5,7,5,5361,0,3,0,1531,0.0,6.6,2.74
4,0,7,0,16,2924,0,3,1,5543,0.0,8.5,3.4
3,1,6,6,10,5231,0,0,4,6780,1.0,6.4,2.19
3,0,0,6,1,1562,1,1,0,3368,0.0,7.2,2.59
0,1,0,6,5,3223,1,3,1,4585,0.0,8.4,2.53
4,1,4,5,4,6457,0,3,0,5797,0.0,7.0,2.63
1,1,2,3,3,4893,1,0,3,6815,0.0,8.1,3.39
0,1,3,0,5,50,0,1,3,496,0.0,7.3,3.05
2,1,7,3,12,1117,0,1,1,1727,0.0,8.4,3.35
2,0,0,6,20,4660,1,1,4,2398,0.0,7.5,2.51
3,0,4,4,16,1401,1,0,4,6799,0.0,7.0,2.64
2,1,1,4,3,1243,0,2,2,6056,0.0,6.5,2.52
2,0,1,1,7,1819,0,0,1,3227,0.0,6.6,2.87
4,1,7,4,0,6202,1,2,3,2071,0.0,5.7,2.02
1,0,1,5,18,4310,0,3,3,4270,0.0,7.6,3.28
2,0,2,3,16,3746,1,1,2,274,0.0,7.7,2.78
5,0,6,2,13,7283,1,3,3,638,0.0,7.1,2.97
4,0,6,6,20,7414,1,3,1,2684,0.0,7.1,3.37
2,1,3,3,7,5568,1,1,4,754,0.0,7.0,2.68
3,0,4,7,11,2428,1,2,0,6668,0.0,7.2,3.16
2,0,2,7,6,6822,0,0,4,4197,0.0,7.3,2.34
5,0,2,2,0,1935,0,2,4,4708,0.0,8.6,3.34
3,0,4,6,3,372,0,2,0,3944,1.0,5.9,2.15
1,0,4,0,13,245,1,0,2,5965,0.0,6.6,2.55
5,0,2,5,15,3724,1,1,2,4986,0.0,7.7,3.14
0,1,4,2,17,2333,1,2,0,2156,0.0,8.6,3.37
0,0,4,3,6,5040,0,2,3,1791,0.0,8.0,3.26
4,0,1,7,9,2318,0,1,3,2218,0.0,6.3,2.02
5,0,0,6,0,3257,1,3,2,4311,0.0,7.4,3.41
3,0,3,6,1,4665,0,3,0,2205,0.0,8.0,3.07
2,1,4,6,16,6840,1,3,2,3798,1.0,5.5,2.03
0,1,6,5,2,7182,1,3,0,5610,0.0,8.0,3.2
5,0,2,2,19,5059,1,3,3,197,0.0,6.4,2.73
3,0,4,4,17,5280,1,1,1,54,0.0,7.5,2.11
3,0,0,0,10,334,1,0,2,5875,0.0,7.1,2.45
4,1,7,7,3,514,0,0,1,1921,1.0,7.3,2.14
1,0,2,4,13,6519,1,1,1,2735,1.0,5.8,2.16
4,1,0,6,17,7319,0,1,2,4938,0.0,7.6,2.92
5,1,5,4,3,176,0,0,4,6670,1.0,6.8,2.29
3,1,6,6,10,5825,0,0,1,2750,0.0,8.0,3.36
2,0,1,6,0,3338,0,2,2,4156,0.0,7.2,3.19
1,1,2,6,10,3211,0,2,4,1522,0.0,6.3,2.66
3,0,5,2,3,3961,1,3,2,2410,0.0,9.0,3.16
2,0,2,6,8,6935,0,3,3,6088,0.0,6.0,2.34
2,1,0,0,3,5484,1,0,4,6253,0.0,5.4,2.64
1,0,2,7,2,6374,1,0,1,3371,0.0,6.4,2.48
3,0,7,0,0,3381,0,3,3,4743,0.0,6.6,2.88
1,0,1,0,6,5235,1,3,4,2551,0.0,5.9,2.36
0,1,2,2,16,7396,1,3,4,89,0.0,8.3,3.14
0,0,2,7,4,3471,0,3,0,6588,0.0,7.4,2.39
2,0,2,0,8,2715,1,0,2,1055,0.0,8.3,3.26
1,1,3,5,14,1540,0,0,3,3594,0.0,6.4,2.77
5,1,3,0,20,702,1,2,1,5511,0.0,6.1,2.35
2,1,2,5,0,710,1,2,4,1221,0.0,7.3,3.34
2,0,7,5,14,6578,0,2,2,680,1.0,8.4,2.29
5,1,4,5,18,6293,0,3,4,2456,0.0,7.1,2.33
0,1,6,0,1,1358,1,2,0,4123,0.0,8.5,2.91
3,0,1,5,7,2507,1,2,1,6023,0.0,7.2,3.24
1,0,1,4,6,432,0,1,0,4622,0.0,7.7,2.92
2,0,0,3,18,5699,1,3,0,4272,0.0,7.1,3.13
3,0,0,2,3,1179,0,2,1,3446,1.0,5.9,2.1
1,0,7,2,18,7442,1,0,2,2867,0.0,7.7,3.33
0,1,0,3,17,4222,0,2,2,5676,0.0,6.0,2.06
5,1,6,4,20,6019,1,1,1,5338,0.0,7.2,2.41
1,1,3,6,7,7268,1,0,0,2535,0.0,7.7,3.12
3,1,4,6,14,2494,1,3,3,3088,0.0,6.0,2.19
3,1,7,5,8,4451,1,1,2,6934,0.0,6.7,2.58
3,0,0,0,19,392,0,0,2,6797,0.0,5.9,2.34
0,1,0,3,1,1597,0,2,3,1488,0.0,5.6,2.01
5,1,4,7,6,6701,1,0,1,5430,0.0,6.5,2.47
2,0,7,6,13,2189,0,2,4,1330,0.0,7.3,3.18
5,1,5,3,9,3473,1,0,4,3060,0.0,6.9,2.75
3,0,2,3,17,6597,0,2,3,3346,0.0,7.6,2.97
5,1,5,3,16,2465,1,1,3,514,0.0,5.9,2.13
3,0,7,6,15,3074,0,2,2,4966,0.0,6.6,3.25
2,0,3,3,5,7547,1,3,4,5620,0.0,7.2,2.87
2,1,3,7,16,6897,1,3,2,929,0.0,8.6,3.35
2,0,2,0,1,6040,1,0,1,6135,0.0,7.5,2.75
3,1,6,3,1,6784,0,0,4,3998,0.0,8.0,2.89
3,1,4,3,1,4068,1,2,3,3064,0.0,7.4,2.4
3,1,3,5,12,596,1,3,1,3306,1.0,6.8,2.15
2,1,5,3,19,6794,1,3,3,5148,0.0,6.9,2.43
1,0,2,5,11,1310,1,0,2,5312,0.0,6.9,2.65
5,1,3,6,4,5802,0,0,0,5603,1.0,5.5,2.01
2,0,3,4,9,2776,0,2,0,350,0.0,7.6,2.6
1,1,3,1,2,1436,1,0,2,4348,0.0,7.9,2.98
1,0,5,7,13,295,0,1,3,6189,0.0,5.7,2.28
1,0,6,1,12,4903,1,1,2,4899,0.0,7.7,2.99
0,1,7,4,5,4129,1,1,4,1849,0.0,6.7,2.56
5,1,1,3,19,2468,0,2,0,3685,0.0,7.3,2.87
5,1,6,2,1,2866,1,2,1,179,0.0,6.1,2.31
4,1,5,5,19,2739,1,1,2,1150,0.0,6.1,2.46
2,0,5,4,20,864,1,2,2,3948,0.0,8.2,2.52
2,0,1,6,13,516,1,0,1,1379,1.0,6.1,2.02
2,1,3,6,12,5551,0,1,1,6892,0.0,6.8,2.48
2,0,5,3,8,5552,0,1,3,2373,0.0,7.1,3.01
3,1,7,0,1,5845,0,0,2,2321,0.0,7.6,2.61
4,1,0,6,19,6540,1,3,2,1785,0.0,8.3,3.18
2,1,2,6,12,1800,1,0,2,4106,0.0,8.3,3.34
4,1,5,3,11,4805,0,3,1,1059,0.0,7.2,3.18
1,1,6,3,1,6219,1,1,2,5879,0.0,8.7,3.29
0,1,6,7,7,1775,1,3,0,2147,0.0,6.5,2.65
4,1,7,2,15,132,0,3,4,2517,0.0,6.0,2.16
3,1,5,2,17,1245,0,1,1,5844,0.0,8.1,3.13
4,0,5,5,9,6144,1,0,4,5718,0.0,6.8,2.83
5,0,4,1,1,6182,1,1,1,5327,0.0,7.2,2.44
5,0,6,2,20,2149,0,1,4,39,0.0,6.7,2.76
3,0,5,3,11,5681,0,1,3,906,0.0,8.0,3.11
4,1,6,6,8,3535,0,1,1,2937,0.0,7.7,3.25
5,1,3,6,17,7455,0,0,4,4192,0.0,6.4,2.4
2,0,0,4,12,3383,1,0,1,1458,0.0,6.2,2.53
5,0,2,3,6,5100,0,0,0,6910,0.0,7.4,3.22
4,0,5,5,5,3366,0,3,3,4535,0.0,7.4,2.19
3,0,4,7,1,4753,0,0,4,3018,0.0,7.0,2.55
3,1,3,3,1,340,0,0,4,2103,0.0,6.8,2.2
4,0,0,5,16,7340,1,2,1,1985,1.0,5.3,2.02
1,1,3,2,12,2044,0,3,3,6045,1.0,6.0,2.03
3,1,6,0,11,1434,1,2,0,6666,0.0,7.8,3.39
4,0,2,5,3,850,1,1,0,1192,0.0,8.7,2.48
2,0,1,5,16,861,0,3,0,2599,0.0,5.9,3.1
2,0,3,5,7,5984,0,0,1,1608,0.0,6.5,2.31
2,0,0,4,6,2702,0,2,1,2057,0.0,8.0,3.15
5,0,4,5,10,6192,0,0,2,1765,0.0,7.1,2.48
5,1,1,0,0,6908,1,0,1,5290,0.0,8.6,3.31
4,0,4,4,13,3254,0,2,2,5221,0.0,8.7,2.86
3,1,2,3,1,3257,1,2,0,3089,0.0,8.1,3.28
2,1,5,2,6,5450,1,1,0,3460,0.0,7.9,3.25
1,0,4,6,8,4616,1,0,4,3356,0.0,5.3,2.02
5,1,0,3,5,5168,1,0,0,2544,0.0,5.9,2.19
2,0,3,1,2,2431,1,0,3,6686,0.0,6.0,2.33
0,0,1,3,4,1064,1,1,3,1067,1.0,6.4,2.19
4,0,1,0,14,2762,0,0,4,583,0.0,8.3,3.14
2,0,6,0,1,5253,1,3,2,1061,0.0,6.5,2.26
1,1,6,6,19,4671,0,1,3,3785,0.0,5.9,2.06
1,0,5,6,6,5661,0,2,4,4243,0.0,7.1,2.38
0,1,4,3,17,6056,1,0,0,4362,0.0,8.0,3.4
4,1,4,2,10,5215,1,0,4,5214,0.0,7.2,2.66
4,1,4,6,1,983,1,2,3,6128,1.0,5.6,2.2
5,0,6,5,17,7115,0,3,4,2053,0.0,7.4,3.13
1,1,5,0,4,1032,1,0,4,3202,0.0,6.7,2.36
1,0,2,4,12,4550,1,1,2,6896,0.0,8.5,3.32
5,0,0,1,18,5124,0,3,0,4778,0.0,6.0,2.01
2,1,2,5,1,6645,0,3,2,3314,0.0,8.2,3.14
1,0,6,6,18,6166,0,2,1,6962,0.0,9.0,3.35
5,1,1,0,15,6738,0,0,4,4861,1.0,6.8,2.13
4,1,7,6,7,3234,0,2,1,436,0.0,5.7,2.65
3,0,4,0,11,647,1,0,2,2083,0.0,8.1,2.66
4,1,4,2,13,1052,1,2,0,4897,0.0,6.8,3.06
3,0,2,3,15,1970,0,2,1,1257,0.0,8.4,3.34
5,0,1,2,14,4447,0,1,0,2240,0.0,5.6,2.99
5,0,0,1,19,7499,0,0,2,6964,0.0,5.9,2.39
1,1,7,0,17,6094,0,2,1,1411,1.0,6.6,2.22
5,0,3,1,0,1150,1,2,4,3705,0.0,7.2,2.84
3,0,2,2,11,7413,0,3,1,1170,0.0,6.5,2.33
4,0,2,4,7,4056,0,0,0,5809,0.0,6.0,2.36
2,1,6,1,2,4582,0,2,2,6888,0.0,8.1,3.19
0,1,1,2,13,667,1,1,2,6627,1.0,6.7,2.01
0,1,7,7,0,7097,0,3,0,4673,0.0,6.3,2.42
0,1,6,5,16,4713,0,0,1,5881,0.0,6.8,2.54
4,1,7,0,7,4614,1,2,3,2384,0.0,6.7,2.92
5,0,6,4,5,1825,0,3,4,3721,0.0,8.1,3.08
5,0,7,5,20,5545,1,0,4,3326,0.0,7.3,3.35
3,0,7,6,3,1877,1,0,0,3499,0.0,7.8,3.25
5,0,0,1,7,1465,1,2,1,475,0.0,7.8,3.08
0,0,3,6,11,6010,0,0,3,2194,0.0,7.0,2.79
2,1,2,3,10,7337,0,2,0,6942,0.0,6.6,2.9
1,1,3,4,8,6895,1,2,0,3557,0.0,5.3,2.09
2,1,0,5,18,4617,1,0,2,3334,0.0,7.6,3.09
1,1,7,3,18,4085,1,1,2,6763,0.0,6.5,2.41
4,0,0,2,3,6377,1,3,4,6930,0.0,8.3,3.02
5,1,1,1,7,6865,1,3,0,5300,0.0,6.4,2.1
3,0,5,7,1,497,1,0,3,6239,1.0,5.6,2.24
1,0,1,5,9,5554,1,0,1,4612,0.0,7.5,2.75
2,1,0,7,8,5791,1,1,1,2474,0.0,7.4,2.65
0,0,7,5,18,3712,1,0,3,4622,1.0,5.7,2.25
3,1,0,7,14,6421,0,2,1,5871,0.0,7.3,2.76
4,0,4,5,20,5986,1,2,0,2522,0.0,6.4,2.39
5,1,6,4,5,4555,0,2,2,4955,0.0,7.7,2.68
5,0,3,2,13,4096,1,3,4,540,0.0,7.6,3.41
1,0,0,6,8,5883,0,1,1,1432,0.0,7.2,2.52
3,1,7,4,2,487,0,1,1,696,0.0,6.5,2.76
2,1,0,4,14,52,0,1,2,588,0.0,6.7,2.52
3,1,7,3,5,3558,1,1,2,6951,0.0,8.3,3.19
1,1,4,3,14,483,1,2,1,1280,0.0,7.5,3.09
3,1,3,2,7,5974,0,2,2,302,0.0,6.2,2.07
0,1,2,0,18,6185,0,0,2,6118,0.0,7.2,2.51
0,1,5,7,13,6180,0,3,2,1586,0.0,6.5,2.56
5,1,1,1,9,6718,1,2,3,5416,0.0,7.4,3.39
1,1,4,3,5,6610,1,0,2,1819,0.0,7.1,2.77
2,0,1,1,2,3088,0,2,3,1316,1.0,5.8,2.15
0,0,0,1,7,559,0,3,2,4917,0.0,8.0,3.14
5,0,5,6,12,511,0,1,2,5578,0.0,8.5,3.2
5,1,6,7,7,5752,0,0,1,3046,0.0,6.0,2.98
5,0,4,6,3,434,0,3,0,4530,0.0,7.9,3.24
0,1,4,0,20,3708,1,1,1,5960,1.0,5.3,2.06
4,0,1,4,19,2054,1,1,0,4721,0.0,6.2,2.31
2,1,2,0,5,5815,0,3,2,4143,0.0,6.4,2.56
1,1,0,5,20,3269,0,1,2,1292,0.0,7.3,3.35
5,0,4,2,13,7143,0,2,2,1489,0.0,6.8,2.13
4,1,3,6,13,6709,0,3,0,5426,1.0,4.5,2.16
1,1,7,0,12,5990,1,0,4,2028,0.0,7.7,3.19
5,0,3,3,11,4533,1,3,1,1167,0.0,8.8,3.02
3,1,6,4,14,6526,1,1,1,1103,0.0,7.2,2.72
2,0,3,3,1,3896,0,0,3,3463,0.0,6.2,2.52
4,1,3,1,16,1011,0,1,0,683,0.0,7.9,3.13
1,1,6,5,14,3307,0,2,4,1536,0.0,7.6,2.53
0,0,3,2,15,7191,0,0,0,4062,0.0,6.2,3.02
4,1,2,1,2,1760,0,1,2,1353,0.0,7.3,2.69
1,1,1,3,2,1695,0,2,0,6899,1.0,6.6,2.19
0,0,3,7,0,444,1,1,3,1716,0.0,7.7,2.68
1,1,6,2,11,1734,1,2,2,1496,0.0,6.8,3.02
2,1,7,1,13,6875,0,3,2,5913,1.0,6.1,2.27
4,1,6,7,12,70,1,2,0,6475,0.0,8.0,3.25
2,0,5,2,8,7175,0,1,0,6428,0.0,7.1,2.64
3,0,6,5,1,341,1,2,4,1582,1.0,6.5,2.18
4,1,4,3,17,2337,1,2,4,1229,0.0,7.1,2.3
5,1,2,3,2,689,0,2,0,4026,0.0,8.3,3.32
1,0,2,6,20,2087,0,0,1,6656,0.0,5.8,2.55
3,0,7,3,1,249,1,1,2,746,0.0,6.0,2.97
1,0,1,7,11,5185,0,1,2,2580,0.0,6.3,2.3
0,0,5,3,7,6971,0,3,2,4950,0.0,7.7,3.06
1,1,0,4,9,1028,0,0,1,2444,0.0,7.8,3.24
0,0,2,1,11,6556,0,3,0,6535,1.0,5.3,2.01
0,1,0,4,14,1380,0,2,2,4108,0.0,6.3,2.64
1,1,7,1,20,7383,1,3,4,4655,1.0,6.4,2.24
0,1,4,5,2,1125,0,0,1,1293,1.0,7.5,2.01
2,0,3,7,17,7127,1,1,4,5570,0.0,6.1,2.38
4,1,6,6,3,3249,0,1,4,4570,0.0,7.3,2.57
1,0,3,1,0,729,1,2,1,1920,0.0,6.9,2.59
2,0,2,4,7,5404,1,0,2,4457,0.0,6.4,2.51
5,0,1,4,20,5561,0,2,3,3786,0.0,7.5,3.37
3,0,1,0,7,7020,0,1,4,3513,0.0,4.7,2.11
3,1,3,4,8,1722,1,3,2,6114,0.0,4.6,2.36
1,1,0,5,13,6948,1,0,0,6731,0.0,7.5,2.86
0,1,7,5,15,1101,0,3,0,3408,1.0,6.5,2.12
3,1,4,5,9,714,0,2,3,5044,0.0,7.3,2.69
4,1,4,4,1,4931,1,2,1,3065,0.0,5.0,2.3
3,0,7,5,16,6590,0,0,2,2964,0.0,8.3,3.29
4,1,2,5,15,3719,1,1,1,1495,0.0,7.3,3.1
2,0,7,3,2,2091,1,0,4,2952,0.0,5.9,2.46
0,1,0,4,15,1361,0,2,2,3827,0.0,7.2,2.44
3,1,3,0,13,2189,0,1,2,6946,0.0,7.5,2.53
1,1,0,6,4,4751,1,0,3,576,1.0,5.4,2.05
4,1,4,3,16,1875,0,3,4,3280,0.0,6.9,2.49
1,0,5,6,12,684,0,0,3,69,0.0,7.3,2.75
2,0,1,5,0,2376,0,1,2,5297,0.0,8.7,3.38
2,1,6,0,13,1308,0,0,1,997,0.0,6.6,2.59
1,1,2,7,4,7239,1,2,0,3978,0.0,7.5,2.86
1,1,4,5,19,4678,0,2,1,5461,1.0,6.8,2.15
2,0,6,3,12,5859,1,1,0,5251,0.0,6.6,2.49
1,1,5,2,5,5508,1,0,2,3388,0.0,6.2,2.4
2,1,3,5,20,7116,0,1,1,2477,0.0,6.0,2.48
4,0,4,4,18,755,1,3,4,3485,0.0,6.9,2.93
0,0,1,7,5,6413,0,0,0,5026,0.0,6.9,2.83
1,1,4,2,3,5059,1,3,4,3789,0.0,7.7,3.22
3,1,5,5,1,643,0,0,0,4,0.0,6.9,2.15
1,1,4,6,12,3541,0,0,3,114,1.0,6.8,2.16
2,0,0,0,14,7503,1,1,2,912,0.0,7.2,2.56
0,1,3,3,19,3407,1,3,2,5145,0.0,5.9,2.31
0,0,5,3,0,6814,1,3,3,2579,0.0,6.5,2.17
5,0,6,4,11,1464,1,1,4,599,0.0,7.3,2.39
3,1,3,3,17,1502,0,0,2,1893,1.0,5.3,2.01
4,0,1,6,11,4971,1,2,0,3483,0.0,5.5,2.79
5,0,1,3,8,2789,0,1,2,289,0.0,7.9,3.4
2,0,1,7,19,4521,1,0,3,1693,0.0,6.4,2.39
5,1,0,4,12,5663,0,0,1,218,0.0,6.7,2.55
0,1,1,7,17,5948,0,0,1,3305,0.0,6.0,2.3
3,1,5,2,3,1680,0,1,2,1543,1.0,5.1,2.06
0,1,4,0,19,2791,1,1,0,4684,0.0,7.9,2.84
2,0,1,4,11,6103,1,1,2,4670,0.0,6.0,2.36
5,1,7,4,18,6130,1,3,3,3708,1.0,6.1,2.26
0,0,7,4,20,3424,1,1,0,5435,0.0,8.0,2.82
5,1,7,6,18,6343,0,3,1,5994,1.0,6.9,2.17
3,1,5,4,5,3334,1,0,2,6126,0.0,6.8,3.03
4,0,7,0,20,5597,0,0,2,1577,0.0,8.3,3.27
0,0,4,5,1,2941,1,0,3,919,0.0,7.8,2.92
5,1,6,1,9,6317,1,3,2,481,0.0,7.6,2.43
2,1,2,0,12,6367,1,3,1,1996,0.0,5.0,2.03
3,1,5,7,3,3743,0,3,3,1057,0.0,8.7,3.34
4,0,2,5,10,811,0,3,0,2816,0.0,7.9,2.47
5,1,4,0,17,3552,0,2,0,5684,0.0,6.9,2.4
1,0,3,6,5,2734,0,0,4,2408,0.0,7.6,2.67
3,1,2,2,11,1580,1,0,3,2146,0.0,7.8,3.25
0,0,2,7,5,5175,0,3,4,749,0.0,7.4,2.99
2,0,4,5,14,5596,0,1,1,4305,0.0,7.7,2.97
2,0,1,5,2,740,1,0,0,683,0.0,8.1,3.17
2,0,3,5,15,4548,0,0,4,3042,0.0,7.5,3.01
5,1,0,4,4,5163,1,3,1,2360,1.0,6.9,2.29
5,0,2,4,5,1374,0,0,4,3285,0.0,7.2,3.31
4,1,6,3,4,5916,1,2,0,790,0.0,6.1,3.06
0,1,6,1,8,3660,0,2,0,967,0.0,7.1,3.22
1,1,2,2,7,1148,1,2,4,3843,0.0,7.3,2.57
3,0,0,1,19,6360,1,1,4,1318,0.0,7.6,3.06
1,1,5,7,2,4291,0,0,0,2184,0.0,7.8,2.86
2,0,5,1,9,3737,1,3,1,3098,0.0,7.1,2.75
4,1,3,3,11,4804,0,0,3,1697,1.0,6.3,2.26
3,0,1,0,3,6337,0,3,2,4796,0.0,7.9,2.93
1,1,5,2,20,5690,1,0,1,5440,0.0,8.0,2.87
1,0,1,6,5,6811,1,2,4,5836,0.0,7.0,3.2
5,0,7,6,12,880,0,2,1,2649,0.0,7.0,2.38
3,1,6,6,10,3088,1,0,0,1687,0.0,7.1,2.3
0,1,6,7,6,1515,0,0,4,3980,0.0,7.4,2.62
2,1,1,3,10,6122,1,0,4,1269,0.0,8.2,3.14
3,0,7,1,12,6205,0,2,3,2994,0.0,5.3,2.76
0,0,0,0,3,830,1,1,2,398,1.0,6.6,2.24
3,0,7,5,17,6363,1,2,3,184,0.0,6.1,2.99
4,0,2,7,12,38,0,3,1,1974,0.0,7.3,2.69
4,0,5,6,5,2252,1,3,4,3879,0.0,6.7,2.69
5,0,1,3,0,5328,0,0,4,38,0.0,5.4,2.62
1,1,4,5,3,6,0,3,1,1716,0.0,7.2,2.46
0,1,2,1,7,4631,1,2,3,314,1.0,5.8,2.09
0,0,3,1,14,1698,0,0,4,1719,0.0,4.9,2.16
3,1,1,5,19,803,0,3,4,3621,0.0,8.0,2.97
1,1,6,1,17,4263,0,2,0,5138,1.0,6.6,2.0
4,0,3,1,11,2934,1,0,2,4181,0.0,6.9,3.37
3,1,5,7,20,3025,0,2,1,5825,0.0,7.2,2.9
5,1,2,1,18,95,0,1,0,2795,0.0,7.5,3.17
4,0,0,7,10,3404,1,1,4,6622,0.0,7.4,2.83
1,1,6,7,20,4998,1,1,1,5291,0.0,7.7,3.17
3,0,1,7,18,3051,0,2,1,6082,0.0,7.4,3.14
3,0,0,0,0,5164,0,0,0,6904,0.0,7.2,2.63
2,0,3,5,0,5617,1,1,2,3002,0.0,7.8,2.81
5,1,2,0,16,3404,0,3,1,5777,0.0,7.5,2.97
1,1,0,6,12,1833,1,0,3,3695,0.0,7.6,2.74
0,1,2,2,18,1671,1,1,1,1906,0.0,8.0,2.85
5,1,6,4,0,4082,1,3,1,2856,0.0,7.8,2.87
3,1,4,0,10,7494,1,1,1,850,0.0,7.5,3.25
5,0,5,7,16,883,0,3,1,4920,0.0,7.3,2.6
4,1,0,4,11,1428,0,1,2,3386,0.0,7.0,2.63
1,0,5,0,4,6922,0,2,2,4131,0.0,5.1,2.58
4,0,0,3,9,6063,0,1,4,4905,0.0,6.2,2.59
1,1,2,1,15,5138,0,1,4,2029,0.0,5.3,2.06
2,0,0,3,4,6847,0,2,4,5695,0.0,8.1,3.33
0,1,4,6,0,3941,0,2,0,5455,0.0,6.4,3.28
3,0,5,0,19,2925,1,2,3,5235,0.0,7.4,3.37
2,0,5,1,0,1456,0,0,2,2239,0.0,6.1,2.25
4,0,5,1,13,6796,1,1,4,3418,0.0,6.6,2.35
4,0,1,4,8,6553,0,2,2,1935,0.0,6.3,2.38
2,0,6,7,15,6380,1,2,4,3559,0.0,6.7,2.78
1,1,1,1,9,5149,0,0,4,896,1.0,6.0,2.14
3,1,5,7,2,5602,1,3,2,937,0.0,7.6,3.37
0,1,2,6,5,492,0,2,4,1811,0.0,8.0,3.05
0,1,0,5,20,7569,1,1,3,2096,0.0,7.3,3.35
